fund_id,open,high,low,close,average,weighted_average,base_volume,traded_volume,interval_starts_at,interval_ends_at
BTCEUR,34153.52,34153.52,33194.24,33194.24,33676.29252,33613.72695,16097.61375,0.4789,2022-01-31T00:00:00.000Z,2022-01-31T01:00:00.000Z
BTCEUR,33194.24,33230.05,33129.0,33140.9,33178.36011,33163.38953,285.20513,0.0086,2022-01-31T01:00:00.000Z,2022-01-31T02:00:00.000Z
BTCEUR,33129.0,33236.15,33017.1,33236.15,33112.59861,33077.38176,1514.94405,0.0458,2022-01-31T02:00:00.000Z,2022-01-31T03:00:00.000Z
BTCEUR,33236.15,33343.78,33236.15,33320.0,33298.16488,33300.11349,1125.5438,0.0338,2022-01-31T03:00:00.000Z,2022-01-31T04:00:00.000Z
BTCEUR,33320.0,33320.0,33154.0,33222.73,33227.15764,33227.25489,1166.27659,0.0351,2022-01-31T04:00:00.000Z,2022-01-31T05:00:00.000Z
BTCEUR,33224.93,33303.24,33185.45,33303.24,33233.84666,33221.38165,960.0979,0.0289,2022-01-31T05:00:00.000Z,2022-01-31T06:00:00.000Z
BTCEUR,33303.24,33346.93,33229.0,33229.0,33300.94941,33317.07633,4721.02966,0.1417,2022-01-31T06:00:00.000Z,2022-01-31T07:00:00.000Z
BTCEUR,33210.44,33458.35,33210.44,33435.53,33359.62969,33290.55694,19005.57892,0.5709,2022-01-31T07:00:00.000Z,2022-01-31T08:00:00.000Z
BTCEUR,33435.53,33451.35,33403.39,33407.33,33421.24666,33420.38405,7542.98065,0.2257,2022-01-31T08:00:00.000Z,2022-01-31T09:00:00.000Z
BTCEUR,33407.33,33473.64,33365.93,33471.69,33415.93672,33427.1573,21858.01807,0.6539,2022-01-31T09:00:00.000Z,2022-01-31T10:00:00.000Z
BTCEUR,33469.41,33519.5,33363.71,33519.5,33447.78627,33422.32011,130845.04098,3.9149,2022-01-31T10:00:00.000Z,2022-01-31T11:00:00.000Z
BTCEUR,33519.5,33532.17,33229.0,33532.17,33388.79689,33440.88989,5457.55319,0.1632,2022-01-31T11:00:00.000Z,2022-01-31T12:00:00.000Z
BTCEUR,33511.46,33545.99,33186.64,33375.0,33312.105,33322.1288,57010.83014,1.7109,2022-01-31T12:00:00.000Z,2022-01-31T13:00:00.000Z
