pairs,datetime,orderbook,price,depth
BTCEUR,"2022-05-09, 15:54:26",ask,31394.93,204.06704
BTCEUR,"2022-05-09, 15:54:26",ask,31419.86,58701.56239
BTCEUR,"2022-05-09, 15:54:26",ask,31447.49,73321.50049
BTCEUR,"2022-05-09, 15:54:26",ask,31462.18,77100.10831
BTCEUR,"2022-05-09, 15:54:26",ask,31463.77,77247.98803
BTCEUR,"2022-05-09, 15:54:26",ask,31483.6,78381.39763
BTCEUR,"2022-05-09, 15:54:26",ask,31484.38,79294.44465
BTCEUR,"2022-05-09, 15:54:26",ask,31501.26,79612.60737
BTCEUR,"2022-05-09, 15:54:26",ask,31504.33,81329.59336
BTCEUR,"2022-05-09, 15:54:26",ask,31504.81,81896.67994
BTCEUR,"2022-05-09, 15:54:26",ask,31518.13,82914.71554
BTCEUR,"2022-05-09, 15:54:26",ask,31527.11,82933.6318
BTCEUR,"2022-05-09, 15:54:26",ask,31554.45,87625.77852
BTCEUR,"2022-05-09, 15:54:26",ask,31555.49,90781.32752
BTCEUR,"2022-05-09, 15:54:26",ask,31586.89,93940.01652
BTCEUR,"2022-05-09, 15:54:26",ask,31609.13,97100.92952
BTCEUR,"2022-05-09, 15:54:26",ask,31630.03,100263.93252
BTCEUR,"2022-05-09, 15:54:26",ask,31635.68,100918.79109
BTCEUR,"2022-05-09, 15:54:26",ask,31637.23,100950.42832
BTCEUR,"2022-05-09, 15:54:26",ask,31641.02,102089.50504
BTCEUR,"2022-05-09, 15:54:26",ask,31641.8,103007.11724
BTCEUR,"2022-05-09, 15:54:26",ask,31649.68,106172.08524
BTCEUR,"2022-05-09, 15:54:26",ask,31660.02,106827.44766
BTCEUR,"2022-05-09, 15:54:26",ask,31679.03,106852.79088
BTCEUR,"2022-05-09, 15:54:26",ask,31708.73,108165.5323
BTCEUR,"2022-05-09, 15:54:26",ask,31837.43,108191.00225
BTCEUR,"2022-05-09, 15:54:26",ask,31959.69,108210.17806
BTCEUR,"2022-05-09, 15:54:26",ask,32000.0,116226.17806
BTCEUR,"2022-05-09, 15:54:26",ask,32155.8,116277.62734
BTCEUR,"2022-05-09, 15:54:26",ask,32500.0,116293.87734
BTCEUR,"2022-05-09, 15:54:26",ask,32586.31,116332.98091
BTCEUR,"2022-05-09, 15:54:26",ask,32653.21,116352.57284
BTCEUR,"2022-05-09, 15:54:26",ask,32668.66,116375.4409
BTCEUR,"2022-05-09, 15:54:26",ask,32968.34,116540.2826
BTCEUR,"2022-05-09, 15:54:26",ask,32969.16,121357.07688
BTCEUR,"2022-05-09, 15:54:26",ask,33000.0,129607.07688
BTCEUR,"2022-05-09, 15:54:26",ask,33225.0,129656.91438
BTCEUR,"2022-05-09, 15:54:26",ask,33250.0,129673.53938
BTCEUR,"2022-05-09, 15:54:26",ask,33300.0,129690.18938
BTCEUR,"2022-05-09, 15:54:26",ask,33325.0,129706.85188
BTCEUR,"2022-05-09, 15:54:26",ask,33350.0,129740.20188
BTCEUR,"2022-05-09, 15:54:26",ask,33375.0,129756.88938
BTCEUR,"2022-05-09, 15:54:26",ask,33400.0,129773.58938
BTCEUR,"2022-05-09, 15:54:26",ask,33475.0,129840.53938
BTCEUR,"2022-05-09, 15:54:26",ask,33500.0,129907.53938
BTCEUR,"2022-05-09, 15:54:26",ask,33525.0,129941.06438
BTCEUR,"2022-05-09, 15:54:26",ask,33700.0,129957.91438
BTCEUR,"2022-05-09, 15:54:26",ask,33750.0,129991.66438
BTCEUR,"2022-05-09, 15:54:26",ask,33800.0,130025.46438
BTCEUR,"2022-05-09, 15:54:26",ask,33825.0,130042.37688
BTCEUR,"2022-05-09, 15:54:26",ask,33850.0,130059.30188
BTCEUR,"2022-05-09, 15:54:26",ask,33875.0,130076.23938
BTCEUR,"2022-05-09, 15:54:26",ask,33900.0,130093.18938
BTCEUR,"2022-05-09, 15:54:26",ask,33950.0,130110.16438
BTCEUR,"2022-05-09, 15:54:26",ask,33975.0,130127.15188
BTCEUR,"2022-05-09, 15:54:26",ask,34000.0,138892.35188
BTCEUR,"2022-05-09, 15:54:26",ask,34025.0,138909.36438
BTCEUR,"2022-05-09, 15:54:26",ask,34050.0,138926.38938
BTCEUR,"2022-05-09, 15:54:26",ask,34075.0,138943.42688
BTCEUR,"2022-05-09, 15:54:26",ask,34099.0,138974.11598
BTCEUR,"2022-05-09, 15:54:26",ask,34100.0,138991.16598
BTCEUR,"2022-05-09, 15:54:26",ask,34125.0,139008.22848
BTCEUR,"2022-05-09, 15:54:26",ask,34150.0,139025.30348
BTCEUR,"2022-05-09, 15:54:26",ask,34200.0,139059.50348
BTCEUR,"2022-05-09, 15:54:26",ask,34225.0,139076.61598
BTCEUR,"2022-05-09, 15:54:26",ask,34250.0,139093.74098
BTCEUR,"2022-05-09, 15:54:26",ask,34275.0,139110.87848
BTCEUR,"2022-05-09, 15:54:26",ask,34280.0,142535.45048
BTCEUR,"2022-05-09, 15:54:26",ask,34313.24,142634.95887
BTCEUR,"2022-05-09, 15:54:26",ask,34325.0,142669.28387
BTCEUR,"2022-05-09, 15:54:26",ask,34340.81,142693.32244
BTCEUR,"2022-05-09, 15:54:26",ask,34350.0,142710.49744
BTCEUR,"2022-05-09, 15:54:26",ask,34363.75,142744.86119
BTCEUR,"2022-05-09, 15:54:26",ask,34375.0,142762.04869
BTCEUR,"2022-05-09, 15:54:26",ask,34400.0,142779.24869
BTCEUR,"2022-05-09, 15:54:26",ask,34450.0,142796.47369
BTCEUR,"2022-05-09, 15:54:26",ask,34475.0,142813.71119
BTCEUR,"2022-05-09, 15:54:26",ask,34500.0,142830.96119
BTCEUR,"2022-05-09, 15:54:26",ask,34600.0,143003.96119
BTCEUR,"2022-05-09, 15:54:26",ask,34700.0,143038.66119
